experiment,trial,vision_us,ipc_us,control_us,end_to_end_us,vision_deadline_miss,ipc_deadline_miss,control_deadline_miss,end_to_end_deadline_miss,robot_state
E06_REPEATED_NOMINAL,1,20366,1425,519,23493,0,0,0,0,READY
E06_REPEATED_NOMINAL,2,20680,2120,1438,27048,0,0,0,0,READY
E06_REPEATED_NOMINAL,3,20523,2652,1343,28266,0,0,0,0,READY
E06_REPEATED_NOMINAL,4,20897,1753,1346,27510,0,0,0,0,READY
E06_REPEATED_NOMINAL,5,20774,1967,1208,27712,0,0,0,0,READY
E06_REPEATED_NOMINAL,6,20642,2012,752,26065,0,0,0,0,READY
E06_REPEATED_NOMINAL,7,20566,2062,1687,26804,0,0,0,0,READY
E06_REPEATED_NOMINAL,8,20525,1996,1941,28467,0,0,0,0,READY
E06_REPEATED_NOMINAL,9,20662,2262,646,27545,0,0,0,0,READY
E06_REPEATED_NOMINAL,1,20636,3250,1579,29444,0,0,0,0,READY
E06_REPEATED_NOMINAL,2,21045,1875,1054,29270,0,0,0,0,READY
E06_REPEATED_NOMINAL,3,20781,2562,1969,29400,0,0,0,0,READY
E06_REPEATED_NOMINAL,4,21074,2306,1989,33440,0,0,0,0,READY
E06_REPEATED_NOMINAL,5,20520,2698,2079,31089,0,0,0,0,READY
E06_REPEATED_NOMINAL,6,20419,1690,1135,26104,0,0,0,0,READY
E06_REPEATED_NOMINAL,7,20696,2066,876,27491,0,0,0,0,READY
E06_REPEATED_NOMINAL,8,20382,1935,1759,26974,0,0,0,0,READY
E06_REPEATED_NOMINAL,9,20428,1500,1469,26459,0,0,0,0,READY
E06_REPEATED_NOMINAL,10,20809,2352,1274,27168,0,0,0,0,READY
