experiment,trial,vision_us,ipc_us,control_us,end_to_end_us,vision_deadline_miss,ipc_deadline_miss,control_deadline_miss,end_to_end_deadline_miss,robot_state
E07_HIGH_VISION,1,45800,1475,419,53678,0,0,0,0,READY
E07_HIGH_VISION,2,45504,2101,1548,55380,0,0,0,0,READY
E07_HIGH_VISION,3,45639,4641,1929,61028,0,0,0,0,READY
E07_HIGH_VISION,4,45512,2309,1709,55778,0,0,0,0,READY
E07_HIGH_VISION,5,45526,2421,2676,59068,0,0,0,0,READY
E07_HIGH_VISION,6,45446,3150,1343,54619,0,0,0,0,READY
E07_HIGH_VISION,7,45366,2279,555,51301,0,0,0,0,READY
E07_HIGH_VISION,8,45324,1999,1883,52414,0,0,0,0,READY
E07_HIGH_VISION,9,45402,2575,1177,52079,0,0,0,0,READY
E07_HIGH_VISION,10,45809,2416,1148,55336,0,0,0,0,READY
