experiment,trial,vision_us,ipc_us,control_us,end_to_end_us,vision_deadline_miss,ipc_deadline_miss,control_deadline_miss,end_to_end_deadline_miss,robot_state
E08_HIGH_IPC,1,20182,5380,0,27715,0,1,0,0,STOPPED
E08_HIGH_IPC,2,20686,5402,0,28278,0,1,0,0,STOPPED
E08_HIGH_IPC,3,20305,6191,0,28580,0,1,0,0,STOPPED
E08_HIGH_IPC,4,21455,5882,0,33615,0,1,0,0,STOPPED
E08_HIGH_IPC,5,20731,6275,0,30440,0,1,0,0,STOPPED
E08_HIGH_IPC,6,20451,5608,0,28751,0,1,0,0,STOPPED
E08_HIGH_IPC,7,20708,6003,0,30340,0,1,0,0,STOPPED
E08_HIGH_IPC,8,20374,6038,0,29594,0,1,0,0,STOPPED
E08_HIGH_IPC,9,20567,6197,0,29985,0,1,0,0,STOPPED
E08_HIGH_IPC,10,20827,6015,0,30602,0,1,0,0,STOPPED
