experiment,trial,vision_us,ipc_us,control_us,end_to_end_us,vision_deadline_miss,ipc_deadline_miss,control_deadline_miss,end_to_end_deadline_miss,robot_state
E09_TIMING_FAULT,1,20523,3527,92036,128127,0,0,1,0,STOPPED
E09_TIMING_FAULT,2,20526,4142,94580,130399,0,0,1,0,STOPPED
E09_TIMING_FAULT,3,20690,4472,93699,132028,0,0,1,0,STOPPED
E09_TIMING_FAULT,4,20935,4074,91826,137960,0,0,1,0,STOPPED
E09_TIMING_FAULT,5,20611,4228,91362,128781,0,0,1,0,STOPPED
E09_TIMING_FAULT,6,20562,3950,97203,134200,0,0,1,0,STOPPED
E09_TIMING_FAULT,7,20832,12989,0,53698,0,1,0,0,STOPPED
E09_TIMING_FAULT,8,20933,2882,91971,123917,0,0,1,0,STOPPED
E09_TIMING_FAULT,9,20469,4968,95808,141079,0,0,1,0,STOPPED
E09_TIMING_FAULT,10,20484,4449,98919,141885,0,0,1,0,STOPPED
