experiment,trial,vision_us,ipc_us,control_us,end_to_end_us,vision_deadline_miss,ipc_deadline_miss,control_deadline_miss,end_to_end_deadline_miss,robot_state
E10_COMMUNICATION_DELAY,1,20351,6386,0,29759,0,1,0,0,STOPPED
E10_COMMUNICATION_DELAY,2,21027,6603,0,29957,0,1,0,0,STOPPED
E10_COMMUNICATION_DELAY,3,20346,7070,0,31518,0,1,0,0,STOPPED
E10_COMMUNICATION_DELAY,4,20668,6941,0,29203,0,1,0,0,STOPPED
E10_COMMUNICATION_DELAY,5,20669,7451,0,35429,0,1,0,0,STOPPED
E10_COMMUNICATION_DELAY,6,20428,7307,0,36361,0,1,0,0,STOPPED
E10_COMMUNICATION_DELAY,7,20514,6696,0,31749,0,1,0,0,STOPPED
E10_COMMUNICATION_DELAY,8,20569,7210,0,32339,0,1,0,0,STOPPED
E10_COMMUNICATION_DELAY,9,20496,7019,0,30762,0,1,0,0,STOPPED
E10_COMMUNICATION_DELAY,10,20229,7045,0,29592,0,1,0,0,STOPPED
