experiment,trial,vision_us,ipc_us,control_us,end_to_end_us,vision_deadline_miss,ipc_deadline_miss,control_deadline_miss,end_to_end_deadline_miss,robot_state
E11_HIGH_CONTROL,1,20557,3534,71931,98354,0,0,0,0,READY
E11_HIGH_CONTROL,2,20567,3283,72034,98748,0,0,0,0,READY
E11_HIGH_CONTROL,3,20555,2817,71466,98422,0,0,0,0,READY
E11_HIGH_CONTROL,4,20440,3800,71506,100180,0,0,0,0,READY
E11_HIGH_CONTROL,5,20914,3151,71631,99974,0,0,0,0,READY
E11_HIGH_CONTROL,6,20658,2955,71747,98330,0,0,0,0,READY
E11_HIGH_CONTROL,7,20711,3221,71629,97837,0,0,0,0,READY
E11_HIGH_CONTROL,8,20629,2511,71251,95456,0,0,0,0,READY
E11_HIGH_CONTROL,9,20446,2908,71824,96392,0,0,0,0,READY
E11_HIGH_CONTROL,10,20402,3349,72858,99038,0,0,0,0,READY
