experiment,trial,vision_us,ipc_us,control_us,end_to_end_us,vision_deadline_miss,ipc_deadline_miss,control_deadline_miss,end_to_end_deadline_miss,robot_state
E12_INSPECTION_FAILURE,1,20719,3878,1262,29550,0,0,0,0,READY
E12_INSPECTION_FAILURE,2,20338,2846,1304,26010,0,0,0,0,READY
E12_INSPECTION_FAILURE,3,20568,3832,1474,30366,0,0,0,0,READY
E12_INSPECTION_FAILURE,4,20898,3053,1776,29559,0,0,0,0,READY
E12_INSPECTION_FAILURE,5,20485,3704,1995,30994,0,0,0,0,READY
E12_INSPECTION_FAILURE,6,20789,3898,1970,31958,0,0,0,0,READY
E12_INSPECTION_FAILURE,7,21267,3391,1510,30204,0,0,0,0,READY
E12_INSPECTION_FAILURE,8,21174,3822,1652,32088,0,0,0,0,READY
E12_INSPECTION_FAILURE,9,20522,4480,1454,31546,0,0,0,0,READY
E12_INSPECTION_FAILURE,10,20378,4928,1535,31304,0,0,0,0,READY
E12_INSPECTION_FAILURE,1,20626,2862,1325,26797,0,0,0,0,READY
E12_INSPECTION_FAILURE,2,20329,2787,1556,27734,0,0,0,0,READY
E12_INSPECTION_FAILURE,3,20414,3023,1788,29603,0,0,0,0,READY
E12_INSPECTION_FAILURE,4,20886,3237,1757,29605,0,0,0,0,READY
E12_INSPECTION_FAILURE,5,20359,4045,1350,28638,0,0,0,0,READY
E12_INSPECTION_FAILURE,6,20675,2939,1877,29785,0,0,0,0,READY
E12_INSPECTION_FAILURE,7,20519,3750,1404,29682,0,0,0,0,READY
E12_INSPECTION_FAILURE,8,20428,3984,2036,30650,0,0,0,0,READY
E12_INSPECTION_FAILURE,9,21311,3070,1233,29894,0,0,0,0,READY
E12_INSPECTION_FAILURE,10,20954,3360,1588,29804,0,0,0,0,READY
E12_INSPECTION_FAILURE,1,20648,2555,1088,25877,0,0,0,0,READY
E12_INSPECTION_FAILURE,2,20265,2474,1094,24615,0,0,0,0,READY
E12_INSPECTION_FAILURE,3,20527,2502,1095,24982,0,0,0,0,READY
E12_INSPECTION_FAILURE,4,20663,6288,0,33584,0,1,0,0,STOPPED
E12_INSPECTION_FAILURE,5,20486,2507,1144,26325,0,0,0,0,READY
E12_INSPECTION_FAILURE,6,20417,2533,1101,27356,0,0,0,0,READY
E12_INSPECTION_FAILURE,7,20187,2676,1136,25968,0,0,0,0,READY
E12_INSPECTION_FAILURE,8,20583,2396,1086,25065,0,0,0,0,READY
E12_INSPECTION_FAILURE,9,20603,3351,1399,28288,0,0,0,0,READY
E12_INSPECTION_FAILURE,10,20349,2670,1084,25353,0,0,0,0,READY
E12_INSPECTION_FAILURE,1,20560,0,0,24283,0,0,0,0,STOPPED
E12_INSPECTION_FAILURE,2,20320,0,0,22635,0,0,0,0,STOPPED
E12_INSPECTION_FAILURE,3,20490,0,0,23020,0,0,0,0,STOPPED
E12_INSPECTION_FAILURE,4,20485,0,0,24907,0,0,0,0,STOPPED
E12_INSPECTION_FAILURE,5,20503,0,0,24474,0,0,0,0,STOPPED
E12_INSPECTION_FAILURE,6,20730,0,0,24033,0,0,0,0,STOPPED
E12_INSPECTION_FAILURE,7,20296,0,0,23516,0,0,0,0,STOPPED
E12_INSPECTION_FAILURE,8,20653,0,0,23838,0,0,0,0,STOPPED
E12_INSPECTION_FAILURE,9,20572,0,0,23197,0,0,0,0,STOPPED
E12_INSPECTION_FAILURE,10,20749,0,0,23922,0,0,0,0,STOPPED
