experiment,trial,vision_us,ipc_us,control_us,end_to_end_us,vision_deadline_miss,ipc_deadline_miss,control_deadline_miss,end_to_end_deadline_miss,robot_state
E13_VISION_DEADLINE_FAILURE,1,60437,0,0,62684,1,0,0,0,STOPPED
E13_VISION_DEADLINE_FAILURE,2,60405,0,0,63729,1,0,0,0,STOPPED
E13_VISION_DEADLINE_FAILURE,3,60673,0,0,65341,1,0,0,0,STOPPED
E13_VISION_DEADLINE_FAILURE,4,60556,0,0,62954,1,0,0,0,STOPPED
E13_VISION_DEADLINE_FAILURE,5,60474,0,0,63842,1,0,0,0,STOPPED
E13_VISION_DEADLINE_FAILURE,6,60977,0,0,65672,1,0,0,0,STOPPED
E13_VISION_DEADLINE_FAILURE,7,60701,0,0,64304,1,0,0,0,STOPPED
E13_VISION_DEADLINE_FAILURE,8,60486,0,0,63422,1,0,0,0,STOPPED
E13_VISION_DEADLINE_FAILURE,9,60499,0,0,63414,1,0,0,0,STOPPED
E13_VISION_DEADLINE_FAILURE,10,60444,0,0,61944,1,0,0,0,STOPPED
