experiment,trial,vision_us,ipc_us,control_us,end_to_end_us,vision_deadline_miss,ipc_deadline_miss,control_deadline_miss,end_to_end_deadline_miss,robot_state
E14_IPC_DEADLINE_FAILURE,1,20639,7297,0,29354,0,1,0,0,STOPPED
E14_IPC_DEADLINE_FAILURE,2,20690,7178,0,30780,0,1,0,0,STOPPED
E14_IPC_DEADLINE_FAILURE,3,20464,7113,0,30342,0,1,0,0,STOPPED
E14_IPC_DEADLINE_FAILURE,4,20650,7658,0,32070,0,1,0,0,STOPPED
E14_IPC_DEADLINE_FAILURE,5,20650,6561,0,30818,0,1,0,0,STOPPED
E14_IPC_DEADLINE_FAILURE,6,20626,7333,0,31781,0,1,0,0,STOPPED
E14_IPC_DEADLINE_FAILURE,7,20360,7503,0,31748,0,1,0,0,STOPPED
E14_IPC_DEADLINE_FAILURE,8,20441,7424,0,31783,0,1,0,0,STOPPED
E14_IPC_DEADLINE_FAILURE,9,20585,7659,0,31159,0,1,0,0,STOPPED
E14_IPC_DEADLINE_FAILURE,10,20858,7542,0,32195,0,1,0,0,STOPPED
E14_IPC_DEADLINE_FAILURE,1,20666,7257,0,32048,0,1,0,0,STOPPED
E14_IPC_DEADLINE_FAILURE,2,20411,7280,0,31860,0,1,0,0,STOPPED
E14_IPC_DEADLINE_FAILURE,3,20649,7515,0,31809,0,1,0,0,STOPPED
E14_IPC_DEADLINE_FAILURE,4,20750,7239,0,32517,0,1,0,0,STOPPED
E14_IPC_DEADLINE_FAILURE,5,21254,7390,0,33333,0,1,0,0,STOPPED
E14_IPC_DEADLINE_FAILURE,6,20486,7318,0,30948,0,1,0,0,STOPPED
E14_IPC_DEADLINE_FAILURE,7,20549,7715,0,33245,0,1,0,0,STOPPED
E14_IPC_DEADLINE_FAILURE,8,21067,7402,0,31775,0,1,0,0,STOPPED
E14_IPC_DEADLINE_FAILURE,9,20576,7144,0,31551,0,1,0,0,STOPPED
E14_IPC_DEADLINE_FAILURE,10,20685,7764,0,32332,0,1,0,0,STOPPED
