experiment,trial,vision_us,ipc_us,control_us,end_to_end_us,vision_deadline_miss,ipc_deadline_miss,control_deadline_miss,end_to_end_deadline_miss,robot_state
E15_CONTROL_DEADLINE_FAILURE,1,20508,2876,91635,117292,0,0,1,0,STOPPED
E15_CONTROL_DEADLINE_FAILURE,2,21067,2786,92104,119084,0,0,1,0,STOPPED
E15_CONTROL_DEADLINE_FAILURE,3,20471,3485,92178,120117,0,0,1,0,STOPPED
E15_CONTROL_DEADLINE_FAILURE,4,20978,3535,92106,120566,0,0,1,0,STOPPED
E15_CONTROL_DEADLINE_FAILURE,5,20537,3402,92072,119612,0,0,1,0,STOPPED
E15_CONTROL_DEADLINE_FAILURE,6,20915,3175,92496,122370,0,0,1,0,STOPPED
E15_CONTROL_DEADLINE_FAILURE,7,20609,3799,93112,121629,0,0,1,0,STOPPED
E15_CONTROL_DEADLINE_FAILURE,8,20337,2932,92486,119285,0,0,1,0,STOPPED
E15_CONTROL_DEADLINE_FAILURE,9,20343,2780,92690,119627,0,0,1,0,STOPPED
E15_CONTROL_DEADLINE_FAILURE,10,20942,3191,92087,119673,0,0,1,0,STOPPED
