experiment,trial,vision_us,ipc_us,control_us,end_to_end_us,vision_deadline_miss,ipc_deadline_miss,control_deadline_miss,end_to_end_deadline_miss,robot_state
E16_IPC_CONTROL_COMBINED_LOAD,1,20299,7015,0,28162,0,1,0,0,STOPPED
E16_IPC_CONTROL_COMBINED_LOAD,2,20271,7008,0,29719,0,1,0,0,STOPPED
E16_IPC_CONTROL_COMBINED_LOAD,3,20480,7357,0,30843,0,1,0,0,STOPPED
E16_IPC_CONTROL_COMBINED_LOAD,4,20465,7178,0,32094,0,1,0,0,STOPPED
E16_IPC_CONTROL_COMBINED_LOAD,5,20222,7167,0,31165,0,1,0,0,STOPPED
E16_IPC_CONTROL_COMBINED_LOAD,6,20542,7532,0,31464,0,1,0,0,STOPPED
E16_IPC_CONTROL_COMBINED_LOAD,7,20616,7485,0,31786,0,1,0,0,STOPPED
E16_IPC_CONTROL_COMBINED_LOAD,8,20657,7013,0,31990,0,1,0,0,STOPPED
E16_IPC_CONTROL_COMBINED_LOAD,9,20512,7229,0,31064,0,1,0,0,STOPPED
E16_IPC_CONTROL_COMBINED_LOAD,10,20818,7224,0,31958,0,1,0,0,STOPPED
