experiment,trial,vision_us,ipc_us,control_us,end_to_end_us,vision_deadline_miss,ipc_deadline_miss,control_deadline_miss,end_to_end_deadline_miss,robot_state
E17_ALL_HIGH_LOAD,1,45848,8055,0,55041,0,1,0,0,STOPPED
E17_ALL_HIGH_LOAD,2,46075,7373,0,56944,0,1,0,0,STOPPED
E17_ALL_HIGH_LOAD,3,45527,7465,0,56619,0,1,0,0,STOPPED
E17_ALL_HIGH_LOAD,4,45538,7421,0,56647,0,1,0,0,STOPPED
E17_ALL_HIGH_LOAD,5,46395,6803,0,56422,0,1,0,0,STOPPED
E17_ALL_HIGH_LOAD,6,45747,7486,0,56911,0,1,0,0,STOPPED
E17_ALL_HIGH_LOAD,7,45845,6800,0,56118,0,1,0,0,STOPPED
E17_ALL_HIGH_LOAD,8,45878,7473,0,57936,0,1,0,0,STOPPED
E17_ALL_HIGH_LOAD,9,45959,6723,0,55497,0,1,0,0,STOPPED
E17_ALL_HIGH_LOAD,10,45535,7945,0,56784,0,1,0,0,STOPPED
