experiment,trial,vision_us,ipc_us,control_us,end_to_end_us,vision_deadline_miss,ipc_deadline_miss,control_deadline_miss,end_to_end_deadline_miss,robot_state
E18_SUSTAINED_ALL_HIGH_LOAD,1,45314,8493,0,58036,0,1,0,0,STOPPED
E18_SUSTAINED_ALL_HIGH_LOAD,2,45899,8136,0,64131,0,1,0,0,STOPPED
E18_SUSTAINED_ALL_HIGH_LOAD,3,45504,7897,0,61228,0,1,0,0,STOPPED
E18_SUSTAINED_ALL_HIGH_LOAD,4,46046,7940,0,64010,0,1,0,0,STOPPED
E18_SUSTAINED_ALL_HIGH_LOAD,5,45591,7038,0,56960,0,1,0,0,STOPPED
E18_SUSTAINED_ALL_HIGH_LOAD,6,45765,7503,0,71422,0,1,0,0,STOPPED
E18_SUSTAINED_ALL_HIGH_LOAD,7,45774,9723,0,62518,0,1,0,0,STOPPED
E18_SUSTAINED_ALL_HIGH_LOAD,8,46186,8286,0,62604,0,1,0,0,STOPPED
E18_SUSTAINED_ALL_HIGH_LOAD,9,45568,8030,0,62691,0,1,0,0,STOPPED
E18_SUSTAINED_ALL_HIGH_LOAD,10,45352,7972,0,59278,0,1,0,0,STOPPED
