experiment,trial,vision_us,ipc_us,control_us,end_to_end_us,vision_deadline_miss,ipc_deadline_miss,control_deadline_miss,end_to_end_deadline_miss,robot_state
E20_CONTROL_DEADLINE_VIOLATION,1,20818,3707,104493,159525,0,0,1,1,STOPPED
E20_CONTROL_DEADLINE_VIOLATION,2,20807,3375,94372,128017,0,0,1,0,STOPPED
E20_CONTROL_DEADLINE_VIOLATION,3,20497,3975,92263,125104,0,0,1,0,STOPPED
E20_CONTROL_DEADLINE_VIOLATION,4,20588,3786,93881,130729,0,0,1,0,STOPPED
E20_CONTROL_DEADLINE_VIOLATION,5,20473,5011,0,33616,0,1,0,0,STOPPED
E20_CONTROL_DEADLINE_VIOLATION,6,20453,3539,91470,121368,0,0,1,0,STOPPED
E20_CONTROL_DEADLINE_VIOLATION,7,20514,3183,94831,127804,0,0,1,0,STOPPED
E20_CONTROL_DEADLINE_VIOLATION,8,20901,3998,93167,125307,0,0,1,0,STOPPED
E20_CONTROL_DEADLINE_VIOLATION,9,20287,3736,93197,125074,0,0,1,0,STOPPED
E20_CONTROL_DEADLINE_VIOLATION,10,21101,3759,94088,130951,0,0,1,0,STOPPED
