experiment,trial,vision_us,ipc_us,control_us,end_to_end_us,vision_deadline_miss,ipc_deadline_miss,control_deadline_miss,end_to_end_deadline_miss,robot_state
E21_IPC_DEADLINE_VIOLATION,1,20525,7801,0,31745,0,1,0,0,STOPPED
E21_IPC_DEADLINE_VIOLATION,2,20485,7150,0,29226,0,1,0,0,STOPPED
E21_IPC_DEADLINE_VIOLATION,3,20499,7062,0,29998,0,1,0,0,STOPPED
E21_IPC_DEADLINE_VIOLATION,4,20412,7971,0,34083,0,1,0,0,STOPPED
E21_IPC_DEADLINE_VIOLATION,5,20956,7990,0,35654,0,1,0,0,STOPPED
E21_IPC_DEADLINE_VIOLATION,6,20340,8078,0,34986,0,1,0,0,STOPPED
E21_IPC_DEADLINE_VIOLATION,7,20529,8066,0,35211,0,1,0,0,STOPPED
E21_IPC_DEADLINE_VIOLATION,8,20766,8192,0,38296,0,1,0,0,STOPPED
E21_IPC_DEADLINE_VIOLATION,9,20806,8152,0,35327,0,1,0,0,STOPPED
E21_IPC_DEADLINE_VIOLATION,10,20454,7860,0,34946,0,1,0,0,STOPPED
