experiment,trial,vision_us,ipc_us,control_us,end_to_end_us,vision_deadline_miss,ipc_deadline_miss,control_deadline_miss,end_to_end_deadline_miss,robot_state
E22_SAFETY_LATCH_BEHAVIOR,1,20810,2793,2181,28490,0,0,0,0,READY
E22_SAFETY_LATCH_BEHAVIOR,2,20365,4092,6349,38209,0,0,0,0,READY
E22_SAFETY_LATCH_BEHAVIOR,3,20723,3135,3554,34253,0,0,0,0,READY
E22_SAFETY_LATCH_BEHAVIOR,4,20508,4078,3523,36710,0,0,0,0,READY
E22_SAFETY_LATCH_BEHAVIOR,5,20749,4221,4550,37418,0,0,0,0,READY
E22_SAFETY_LATCH_BEHAVIOR,6,20446,3677,5512,37525,0,0,0,0,READY
E22_SAFETY_LATCH_BEHAVIOR,7,20596,3482,3932,33532,0,0,0,0,READY
E22_SAFETY_LATCH_BEHAVIOR,8,20838,5132,0,37189,0,1,0,0,STOPPED
E22_SAFETY_LATCH_BEHAVIOR,9,20576,3904,3842,36613,0,0,0,0,READY
E22_SAFETY_LATCH_BEHAVIOR,10,20518,4759,2822,34335,0,0,0,0,READY
