experiment,trial,vision_us,ipc_us,control_us,end_to_end_us,vision_deadline_miss,ipc_deadline_miss,control_deadline_miss,end_to_end_deadline_miss,robot_state
E23_RECOVERY_RESET,1,20471,2578,1572,25695,0,0,0,0,READY
E23_RECOVERY_RESET,2,20518,3433,3554,33084,0,0,0,0,READY
E23_RECOVERY_RESET,3,20616,3323,2194,32615,0,0,0,0,READY
E23_RECOVERY_RESET,4,20603,3277,2718,29888,0,0,0,0,READY
E23_RECOVERY_RESET,5,20276,3300,5174,33538,0,0,0,0,READY
E23_RECOVERY_RESET,6,21030,5868,0,34391,0,1,0,0,STOPPED
E23_RECOVERY_RESET,7,20619,4092,6128,41457,0,0,0,0,READY
E23_RECOVERY_RESET,8,20353,7016,0,36184,0,1,0,0,STOPPED
E23_RECOVERY_RESET,9,20461,3358,5122,37232,0,0,0,0,READY
E23_RECOVERY_RESET,10,20736,3675,4277,36951,0,0,0,0,READY
