experiment,trial,vision_us,ipc_us,control_us,end_to_end_us,vision_deadline_miss,ipc_deadline_miss,control_deadline_miss,end_to_end_deadline_miss,robot_state
E24_FAULT_RECOVERY_REPEAT,1,20510,3398,1991,27680,0,0,0,0,READY
E24_FAULT_RECOVERY_REPEAT,2,20498,3395,3329,32237,0,0,0,0,READY
E24_FAULT_RECOVERY_REPEAT,3,20817,3527,4294,34804,0,0,0,0,READY
E24_FAULT_RECOVERY_REPEAT,4,20429,4577,4184,35592,0,0,0,0,READY
E24_FAULT_RECOVERY_REPEAT,5,20640,3625,3626,34287,0,0,0,0,READY
E24_FAULT_RECOVERY_REPEAT,6,20595,3666,3756,35150,0,0,0,0,READY
E24_FAULT_RECOVERY_REPEAT,7,20648,3958,3784,34994,0,0,0,0,READY
E24_FAULT_RECOVERY_REPEAT,8,20811,3416,7770,38462,0,0,0,0,READY
E24_FAULT_RECOVERY_REPEAT,9,20945,3608,4527,34137,0,0,0,0,READY
E24_FAULT_RECOVERY_REPEAT,10,20468,3908,4122,34886,0,0,0,0,READY
