timestamp,experiment_id,trial,injected_fault_domain,temperature_c,sensor_noise,power_deviation_percent,communication_errors,control_execution_us,expected_status,observed_status,expected_action,observed_action,expected_system_state,observed_system_state,safe_mode_latched,pick_allowed,move_allowed,place_allowed,diagnostic_score,diagnostic_latency_us,detection_correct,result
2026-09-18T11:29:53.131,D01_NORMAL,1,NONE,42.0,3.0,4.0,0,45000,HEALTHY,HEALTHY,LOG,LOG,NORMAL,NORMAL,False,True,True,True,35.156,55.7,True,PASS
2026-09-18T11:29:53.132,D01_NORMAL,2,NONE,42.0,3.0,4.0,0,45000,HEALTHY,HEALTHY,LOG,LOG,NORMAL,NORMAL,False,True,True,True,35.156,49.7,True,PASS
2026-09-18T11:29:53.132,D01_NORMAL,3,NONE,42.0,3.0,4.0,0,45000,HEALTHY,HEALTHY,LOG,LOG,NORMAL,NORMAL,False,True,True,True,35.156,29.6,True,PASS
2026-09-18T11:29:53.132,D01_NORMAL,4,NONE,42.0,3.0,4.0,0,45000,HEALTHY,HEALTHY,LOG,LOG,NORMAL,NORMAL,False,True,True,True,35.156,19.5,True,PASS
2026-09-18T11:29:53.132,D01_NORMAL,5,NONE,42.0,3.0,4.0,0,45000,HEALTHY,HEALTHY,LOG,LOG,NORMAL,NORMAL,False,True,True,True,35.156,17.3,True,PASS
2026-09-18T11:29:53.132,D01_NORMAL,6,NONE,42.0,3.0,4.0,0,45000,HEALTHY,HEALTHY,LOG,LOG,NORMAL,NORMAL,False,True,True,True,35.156,16.5,True,PASS
2026-09-18T11:29:53.132,D01_NORMAL,7,NONE,42.0,3.0,4.0,0,45000,HEALTHY,HEALTHY,LOG,LOG,NORMAL,NORMAL,False,True,True,True,35.156,16.7,True,PASS
2026-09-18T11:29:53.133,D01_NORMAL,8,NONE,42.0,3.0,4.0,0,45000,HEALTHY,HEALTHY,LOG,LOG,NORMAL,NORMAL,False,True,True,True,35.156,29.6,True,PASS
2026-09-18T11:29:53.133,D01_NORMAL,9,NONE,42.0,3.0,4.0,0,45000,HEALTHY,HEALTHY,LOG,LOG,NORMAL,NORMAL,False,True,True,True,35.156,59.1,True,PASS
2026-09-18T11:29:53.134,D01_NORMAL,10,NONE,42.0,3.0,4.0,0,45000,HEALTHY,HEALTHY,LOG,LOG,NORMAL,NORMAL,False,True,True,True,35.156,68.0,True,PASS
2026-09-18T11:29:53.135,D02_THERMAL_FAULT,1,THERMAL,82.0,3.0,4.0,0,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,149.4,True,PASS
2026-09-18T11:29:53.136,D02_THERMAL_FAULT,2,THERMAL,82.0,3.0,4.0,0,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,105.2,True,PASS
2026-09-18T11:29:53.136,D02_THERMAL_FAULT,3,THERMAL,82.0,3.0,4.0,0,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,17.4,True,PASS
2026-09-18T11:29:53.136,D02_THERMAL_FAULT,4,THERMAL,82.0,3.0,4.0,0,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,16.9,True,PASS
2026-09-18T11:29:53.136,D02_THERMAL_FAULT,5,THERMAL,82.0,3.0,4.0,0,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,19.6,True,PASS
2026-09-18T11:29:53.136,D02_THERMAL_FAULT,6,THERMAL,82.0,3.0,4.0,0,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,17.3,True,PASS
2026-09-18T11:29:53.136,D02_THERMAL_FAULT,7,THERMAL,82.0,3.0,4.0,0,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,29.0,True,PASS
2026-09-18T11:29:53.137,D02_THERMAL_FAULT,8,THERMAL,82.0,3.0,4.0,0,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,11.7,True,PASS
2026-09-18T11:29:53.137,D02_THERMAL_FAULT,9,THERMAL,82.0,3.0,4.0,0,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,15.0,True,PASS
2026-09-18T11:29:53.137,D02_THERMAL_FAULT,10,THERMAL,82.0,3.0,4.0,0,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,12.8,True,PASS
2026-09-18T11:29:53.138,D03_SENSOR_NOISE,1,SENSOR,42.0,18.0,4.0,0,45000,FAULT,FAULT,DEGRADE,DEGRADE,DEGRADED,DEGRADED,False,True,True,True,100.0,41.8,True,PASS
2026-09-18T11:29:53.138,D03_SENSOR_NOISE,2,SENSOR,42.0,18.0,4.0,0,45000,FAULT,FAULT,DEGRADE,DEGRADE,DEGRADED,DEGRADED,False,True,True,True,100.0,37.4,True,PASS
2026-09-18T11:29:53.138,D03_SENSOR_NOISE,3,SENSOR,42.0,18.0,4.0,0,45000,FAULT,FAULT,DEGRADE,DEGRADE,DEGRADED,DEGRADED,False,True,True,True,100.0,18.2,True,PASS
2026-09-18T11:29:53.138,D03_SENSOR_NOISE,4,SENSOR,42.0,18.0,4.0,0,45000,FAULT,FAULT,DEGRADE,DEGRADE,DEGRADED,DEGRADED,False,True,True,True,100.0,9.9,True,PASS
2026-09-18T11:29:53.138,D03_SENSOR_NOISE,5,SENSOR,42.0,18.0,4.0,0,45000,FAULT,FAULT,DEGRADE,DEGRADE,DEGRADED,DEGRADED,False,True,True,True,100.0,13.6,True,PASS
2026-09-18T11:29:53.139,D03_SENSOR_NOISE,6,SENSOR,42.0,18.0,4.0,0,45000,FAULT,FAULT,DEGRADE,DEGRADE,DEGRADED,DEGRADED,False,True,True,True,100.0,10.8,True,PASS
2026-09-18T11:29:53.139,D03_SENSOR_NOISE,7,SENSOR,42.0,18.0,4.0,0,45000,FAULT,FAULT,DEGRADE,DEGRADE,DEGRADED,DEGRADED,False,True,True,True,100.0,8.8,True,PASS
2026-09-18T11:29:53.139,D03_SENSOR_NOISE,8,SENSOR,42.0,18.0,4.0,0,45000,FAULT,FAULT,DEGRADE,DEGRADE,DEGRADED,DEGRADED,False,True,True,True,100.0,8.6,True,PASS
2026-09-18T11:29:53.139,D03_SENSOR_NOISE,9,SENSOR,42.0,18.0,4.0,0,45000,FAULT,FAULT,DEGRADE,DEGRADE,DEGRADED,DEGRADED,False,True,True,True,100.0,10.2,True,PASS
2026-09-18T11:29:53.139,D03_SENSOR_NOISE,10,SENSOR,42.0,18.0,4.0,0,45000,FAULT,FAULT,DEGRADE,DEGRADE,DEGRADED,DEGRADED,False,True,True,True,100.0,9.7,True,PASS
2026-09-18T11:29:53.140,D04_POWER_ANOMALY,1,POWER,42.0,3.0,27.0,0,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,15.5,True,PASS
2026-09-18T11:29:53.140,D04_POWER_ANOMALY,2,POWER,42.0,3.0,27.0,0,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,28.1,True,PASS
2026-09-18T11:29:53.140,D04_POWER_ANOMALY,3,POWER,42.0,3.0,27.0,0,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,17.6,True,PASS
2026-09-18T11:29:53.140,D04_POWER_ANOMALY,4,POWER,42.0,3.0,27.0,0,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,19.8,True,PASS
2026-09-18T11:29:53.141,D04_POWER_ANOMALY,5,POWER,42.0,3.0,27.0,0,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,28.1,True,PASS
2026-09-18T11:29:53.141,D04_POWER_ANOMALY,6,POWER,42.0,3.0,27.0,0,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,16.8,True,PASS
2026-09-18T11:29:53.141,D04_POWER_ANOMALY,7,POWER,42.0,3.0,27.0,0,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,29.6,True,PASS
2026-09-18T11:29:53.141,D04_POWER_ANOMALY,8,POWER,42.0,3.0,27.0,0,45000,FAULT,FAULT,SAFE_MODE,SAFE_MODE,SAFE_MODE,SAFE_MODE,True,False,False,False,100.0,17.8,True,PASS
